Rank,Name,Team,Position,Week,Opponent,PassingCompletions,PassingAttempts,PassingCompletionPercentage,PassingYards,PassingYardsPerAttempt,PassingTouchdowns,PassingInterceptions,PassingRating,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
23,Brandon Weeden,TEN,QB,1,KC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Alex Tanney,TEN,QB,1,KC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Tyler Bray,KC,QB,1,TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Patrick Mahomes,KC,QB,1,TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Trevor Knight,ATL,QB,1,LAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Brandon Allen,LAR,QB,1,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Sean Mannion,LAR,QB,1,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Garrett Grayson,ATL,QB,1,LAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Matt Schaub,ATL,QB,1,LAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Chad Henne,JAX,QB,1,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Joe Webb,BUF,QB,1,JAX,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Nathan Peterman,BUF,QB,1,JAX,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Taysom Hill,NO,QB,1,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Garrett Gilbert,CAR,QB,1,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Derek Anderson,CAR,QB,1,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Chase Daniel,NO,QB,1,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Matt Schaub,ATL,QB,2,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Garrett Grayson,ATL,QB,2,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Carson Wentz,PHI,QB,2,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Nate Sudfeld,PHI,QB,2,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Trevor Knight,ATL,QB,2,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Joshua Dobbs,PIT,QB,2,JAX,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Landry Jones,PIT,QB,2,JAX,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Chad Henne,JAX,QB,2,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Brian Hoyer,NE,QB,2,TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Matt Cassel,TEN,QB,2,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Brandon Weeden,TEN,QB,2,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Alex Tanney,TEN,QB,2,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Kyle Sloter,MIN,QB,2,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Taysom Hill,NO,QB,2,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Teddy Bridgewater,MIN,QB,2,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Chase Daniel,NO,QB,2,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Sam Bradford,MIN,QB,2,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Brian Hoyer,NE,QB,3,JAX,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Chad Henne,JAX,QB,3,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Kyle Sloter,MIN,QB,3,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Nate Sudfeld,PHI,QB,3,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Carson Wentz,PHI,QB,3,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Teddy Bridgewater,MIN,QB,3,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Sam Bradford,MIN,QB,3,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Brian Hoyer,NE,QB,4,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Carson Wentz,PHI,QB,4,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Nate Sudfeld,PHI,QB,4,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
