Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,FanDuelSalary,FantasyPointsFanDuel
33,Austin Ekeler,LAC,RB,2,NE,15,12,6200,6
34,Wendell Smallwood,PHI,RB,2,NO,18,3,5700,5.8
35,Darren Sproles,PHI,RB,1,CHI,1,1,5500,5.6
36,Spencer Ware,KC,RB,3,NE,15,12,5800,5.56
37,Nyheim Hines,IND,RB,1,HOU,10,5,4800,5.4
38,Josh Adams,PHI,RB,1,CHI,1,1,5700,5.1
38,Austin Ekeler,LAC,RB,1,BAL,2,2,6600,5.1
40,Wendell Smallwood,PHI,RB,1,CHI,1,1,5400,5
41,Nyheim Hines,IND,RB,2,KC,30,30,5200,4.9
42,Rex Burkhead,NE,RB,3,KC,30,30,5500,4.87
