Rank,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
957,Ramses Barden,NYG,WR,12,NO,4,3,75,38,0,26,9.5,12.7,0,0,0,0,0,0,5.3,5.3
957,Hines Ward,PIT,WR,2,SEA,6,4,66.7,33,0,15,5.5,8.2,0,0,0,0,0,0,5.3,5.3
957,Lavelle Hawkins,TEN,WR,5,PIT,8,4,50,33,0,16,4.1,8.2,0,0,0,0,0,0,5.3,5.3
957,Jason Avant,PHI,WR,3,NYG,5,4,80,33,0,14,6.6,8.2,0,0,0,0,0,0,5.3,5.3
957,Kyle Williams,SF,WR,15,PIT,5,4,80,33,0,10,6.6,8.2,0,0,0,0,0,0,5.3,5.3
957,Steve Breaston,KC,WR,10,DEN,6,4,66.7,33,0,17,5.5,8.2,0,0,0,0,0,0,5.3,5.3
966,Davone Bess,MIA,WR,2,HOU,5,2,40,42,0,41,8.4,21,0,0,0,0,0,0,5.2,5.2
966,Jacoby Jones,HOU,WR,16,IND,2,2,100,27,0,17,13.5,13.5,1,15,15,0,0,0,5.2,5.2
966,Early Doucet,ARI,WR,15,CLE,9,3,33.3,37,0,20,4.1,12.3,0,0,0,0,0,0,5.2,5.2
966,Deion Branch,NE,WR,13,IND,6,3,50,37,0,17,6.2,12.3,0,0,0,0,0,0,5.2,5.2
966,Roy Williams,CHI,WR,12,OAK,5,3,60,37,0,22,7.4,12.3,0,0,0,0,0,0,5.2,5.2
966,Jabar Gaffney,WAS,WR,10,MIA,6,3,50,37,0,20,6.2,12.3,0,0,0,0,0,0,5.2,5.2
966,Ben Obomanu,SEA,WR,17,ARI,7,3,42.9,37,0,20,5.3,12.3,0,0,0,0,0,0,5.2,5.2
966,Andrew Hawkins,CIN,WR,17,BAL,4,3,75,34,0,26,8.5,11.3,1,3,3,0,0,0,5.2,5.2
966,Johnny Knox,CHI,WR,14,DEN,5,3,60,37,0,19,7.4,12.3,0,0,0,0,0,0,5.2,5.2
966,Austin Pettis,LAR,WR,4,WAS,7,4,57.1,32,0,12,4.6,8,0,0,0,0,2,0,5.2,5.2
966,Austin Collie,IND,WR,9,ATL,5,4,80,32,0,16,6.4,8,0,0,0,0,0,0,5.2,5.2
966,Nate Burleson,DET,WR,8,DEN,7,4,57.1,23,0,15,3.3,5.8,1,9,9,0,0,0,5.2,5.2
966,Andre Caldwell,CIN,WR,6,IND,4,4,100,32,0,14,8,8,0,0,0,0,0,0,5.2,5.2
966,Andre Roberts,ARI,WR,17,SEA,8,4,50,24,0,8,3,6,1,8,8,0,0,0,5.2,5.2
966,Hines Ward,PIT,WR,16,LAR,4,4,100,32,0,19,8,8,0,0,0,0,0,0,5.2,5.2
966,Sammie Stroughter,TB,WR,16,CAR,5,4,80,52,0,29,10.4,13,0,0,0,0,1,1,5.2,5.2
982,Matthew Slater,NE,WR,1,MIA,2,1,50,46,0,46,23,46,0,0,0,0,0,0,5.1,5.1
982,Arrelious Benn,TB,WR,4,IND,1,1,100,43,0,43,43,43,1,3,3,0,0,0,5.1,5.1
982,Dezmon Briscoe,TB,WR,9,NO,2,1,50,46,0,46,23,46,0,0,0,0,0,0,5.1,5.1
982,Johnny Knox,CHI,WR,6,MIN,4,2,50,41,0,22,10.2,20.5,0,0,0,0,0,0,5.1,5.1
982,Vincent Jackson,LAC,WR,16,DET,7,2,28.6,41,0,23,5.9,20.5,0,0,0,0,0,0,5.1,5.1
982,Joshua Cribbs,CLE,WR,14,PIT,2,2,100,38,0,25,19,19,1,3,3,0,0,0,5.1,5.1
982,Andre Roberts,ARI,WR,5,MIN,6,3,50,36,0,13,6,12,0,0,0,0,0,0,5.1,5.1
982,Reggie Wayne,IND,WR,7,NO,4,3,75,36,0,19,9,12,0,0,0,0,0,0,5.1,5.1
982,Mike Sims-Walker,LAR,WR,3,BAL,6,3,50,36,0,14,6,12,0,0,0,0,0,0,5.1,5.1
982,Patrick Turner,NYJ,WR,11,DEN,4,3,75,36,0,25,9,12,0,0,0,0,0,0,5.1,5.1
982,Pierre Garcon,IND,WR,12,CAR,8,3,37.5,34,0,15,4.2,11.3,2,2,1,0,0,0,5.1,5.1
982,Donald Driver,GB,WR,10,MIN,4,3,75,36,0,22,9,12,0,0,0,0,0,0,5.1,5.1
982,Danario Alexander,LAR,WR,17,SF,7,3,42.9,36,0,13,5.1,12,0,0,0,0,0,0,5.1,5.1
982,Devery Henderson,NO,WR,14,TEN,4,3,75,36,0,19,9,12,0,0,0,0,0,0,5.1,5.1
982,Chaz Schilens,OAK,WR,3,NYJ,4,4,100,31,0,13,7.8,7.8,0,0,0,0,0,0,5.1,5.1
982,Andre Caldwell,CIN,WR,8,SEA,6,4,66.7,31,0,10,5.2,7.8,0,0,0,0,0,0,5.1,5.1
982,Austin Collie,IND,WR,10,JAX,5,4,80,31,0,11,6.2,7.8,0,0,0,0,0,0,5.1,5.1
999,Josh Morgan,SF,WR,2,DAL,5,3,60,35,0,13,7,11.7,0,0,0,0,0,0,5,5
999,Jacoby Ford,OAK,WR,5,HOU,7,3,42.9,36,0,22,5.1,12,1,-1,-1,0,0,0,5,5
