,gameId,result
1457,201311240htx,0.031
1549,201010170htx,0.01
2696,201010030ram,0.059
2225,201711050mia,0.029
2625,200809280nor,0.009
10,201101020sfo,0.017
2280,201701010den,0.018
516,201012050det,0.032
1161,201711120chi,0.005
1840,201209230rav,0.011
991,201310130cle,0.004
1244,201812150nyj,0.02
1380,201001030cle,0.062
2825,200709230tam,0.009
1032,201612180nyg,0.013
1176,201410050dal,0.024
596,201110300sea,0.013
97,201810140min,0.004
1368,201812020jax,0.008
231,200910040nwe,0.013
326,200912270atl,0.033
1339,201812090htx,0.005
253,201109180oti,0.017
316,200711110mia,0.016
2401,200709090cle,0.013
1767,201712030atl,0.008
2892,200712020nor,0.008
1611,201111060kan,0.015
2569,201409080crd,0.01
59,201512200phi,0.012
129,201710220nwe,0.017
2045,201811120sfo,0.039
1554,201212300den,0.002
330,201511230nwe,0.026
1156,201812160chi,0.008
2177,200709300buf,0.039
181,201311170tam,0.02
2652,201712030chi,0.08
2101,201011140cle,0.022
1770,201810210nyj,0.004
2313,201011150was,0.03
860,201212090cin,0.007
1894,201210280ram,0.008
19,201511150sea,0.003
1508,201110090clt,0.028
812,200811020nyg,0.0
1614,201212090sfo,0.008
2323,201510040was,0.004
1475,201012190ram,0.004
2787,201412070was,0.025
1898,201409280dal,0.013
715,200910180pit,0.045
1290,201010170was,0.002
1404,201712240sfo,0.026
115,201110020sea,0.017
2920,201612040sdg,0.005
271,201212300cin,0.024
1313,201809230phi,0.004
1526,201011070rai,0.062
496,201609250dal,0.03
2767,201209090crd,0.011
1186,201712170jax,0.001
2810,201511220rav,0.011
1328,201110230nor,0.023
1102,201512030det,0.004
111,201312230sfo,0.0
685,201712170min,0.004
1885,201010040mia,0.01
2327,201511260det,0.012
497,201010100car,0.019
2800,200910180jax,0.013
397,201510250jax,0.007
2277,201309230den,0.015
896,201612040jax,0.036
1811,201212230jax,0.033
1672,201712170buf,0.017
2778,200811160sfo,0.015
1571,201901130nwe,0.028
806,201611060cle,0.003
1690,201511080buf,0.009
927,201112040min,0.002
1476,201309080jax,0.018
2395,201112190sfo,0.013
801,201810210was,0.011
3007,201409210cin,0.012
2906,201711050nor,0.002
2733,201610300nor,0.003
573,200711180sea,0.059
1973,201812090tam,0.003
46,200812210nwe,0.016
2390,201111270kan,0.013
2389,201701150kan,0.014
795,201312220was,0.055
1889,201409070mia,0.023
1337,201610160htx,0.048
212,200712160mia,0.007
1967,200710140sea,0.002
952,200712240sdg,0.004
1329,201411030nyg,0.009
2676,201410260car,0.011
170,200811020rai,0.024
1648,201811110gnb,0.022
1961,201711120buf,0.009
2150,201311240rav,0.168
2946,201010100dal,0.014
1441,201412280htx,0.017
1442,201812300htx,0.062
246,201510010pit,0.03
2677,201210070car,0.024
1411,201311100oti,0.012
1278,201309220sfo,0.002
2094,200710280mia,0.016
432,201811080pit,0.011
779,201112180crd,0.004
2141,201212170oti,0.015
1043,201011140buf,0.011
1041,201509130sdg,0.006
2463,201309160cin,0.011
1831,201111270phi,0.021
856,201109110nyj,0.003
849,201612110nyg,0.021
2974,200811160jax,0.008
487,201210280chi,0.006
1963,201211180rai,0.025
2664,201810280crd,0.004
1646,200912130jax,0.015
1735,201611240det,0.02
2440,200812140rav,0.014
967,200711250chi,0.02
718,200909200den,0.002
1960,200710280sfo,0.006
2755,201212020chi,0.065
124,201212220det,0.002
626,201412280pit,0.009
1858,201110020rai,0.017
1066,201212160crd,0.006
1388,200811090det,0.069
1264,201811040den,0.008
1307,200710220jax,0.024
2109,201710080cle,0.005
3105,200912130rai,0.006
512,201110100det,0.015
280,201211250sdg,0.024
1347,201110160cin,0.027
1897,201610230kan,0.002
2352,201211050nor,0.013
2998,201009260nyg,0.023
530,200712170min,0.056
2465,201612180cin,0.006
2452,201812230nor,0.009
2376,201609190chi,0.013
1383,201310060ram,0.017
3051,201209160ram,0.013
1521,201110230rai,0.009
618,200810120nyj,0.006
2192,200711220dal,0.005
138,201812090gnb,0.019
1366,201409070den,0.002
