Rank,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
65,Jordan Reed,WAS,TE,5,NO,6.9,4.7,71.4,51.5,0.4,0,7.4,10.4,0,0,0,0,0,0,9.9,9.9
66,Delanie Walker,TEN,TE,1,MIA,6.12,4.5,66.7,52.3,0.4,0,8.7,13,0,0,0,0,0,0,9.9,9.88
67,Greg Olsen,CAR,TE,1,DAL,7.87,4.5,50,52.1,0.4,0,6.5,13,0,0,0,0,0,0,9.9,9.86
68,Jared Cook,OAK,TE,17,KC,5.67,4.2,66.7,53.5,0.4,0,9,13.5,0,0,0,0,0,0,9.8,9.85
69,Evan Engram,NYG,TE,17,DAL,8.03,4.7,62.5,54.3,0.3,0,6.8,10.8,0.3,1.8,0,0,0,0,9.8,9.76
70,Greg Olsen,CAR,TE,10,PIT,7.52,4.3,50,51.8,0.4,0,6.5,13,0,0,0,0,0,0,9.7,9.73
71,Rob Gronkowski,NE,TE,16,BUF,6.66,3.9,57.1,52.8,0.4,0,7.6,13.2,0,0,0,0,0,0,9.6,9.63
72,Kyle Rudolph,MIN,TE,4,LAR,7.56,4.3,50,44.7,0.5,0,5.6,11.2,0,0,0,0,0,0,9.6,9.62
72,Eric Ebron,IND,TE,3,PHI,6.02,4.4,66.7,50.1,0.4,0,8.3,12.5,0,0.1,0,0,0,0,9.6,9.62
74,Jared Cook,OAK,TE,8,IND,6.48,4.8,83.3,54.1,0.3,0,9,10.8,0,0,0,0,0,0,9.6,9.61
75,Eric Ebron,IND,TE,5,NE,6.3,4.6,83.3,48.9,0.4,0,8.2,9.8,0,0,0,0,0,0,9.6,9.59
76,OJ Howard,TB,TE,10,WAS,4.55,3.4,60,48.5,0.5,0,9.6,16,0,0,0,0,0,0,9.6,9.55
76,Jared Cook,OAK,TE,6,SEA,6.34,4.7,83.3,54,0.3,0,9,10.8,0,0,0,0,0,0,9.6,9.55
78,Jordan Reed,WAS,TE,6,CAR,6.76,4.6,71.4,50.2,0.4,0,7.1,10,0,0,0,0,0.1,0.1,9.5,9.52
79,Jared Cook,OAK,TE,5,LAC,6.21,4.6,83.3,54,0.3,0,9,10.8,0,0,0,0,0,0,9.5,9.5
80,Jared Cook,OAK,TE,9,SF,6.07,4.5,66.7,54.4,0.3,0,9,13.5,0,0,0,0,0,0,9.5,9.49
