Rank,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
89,Owen Daniels,HOU,TE,14,CIN,10,7,70,100,0,27,10,14.3,0,0,0,0,0,0,13.5,13.5
92,Fred Davis,WAS,TE,8,BUF,9,8,88.9,94,0,24,10.4,11.8,0,0,0,0,0,0,13.4,13.4
93,Travis Beckum,NYG,TE,13,GB,1,1,100,67,1,67,67,67,0,0,0,0,0,0,13.2,13.2
93,Jake Ballard,NYG,TE,14,DAL,6,4,66.7,52,1,21,8.7,13,0,0,0,0,0,0,13.2,13.2
95,Jeff King,ARI,TE,1,CAR,3,2,66.7,61,1,48,20.3,30.5,0,0,0,0,0,0,13.1,13.1
96,Clay Harbor,PHI,TE,4,SF,3,3,100,55,1,27,18.3,18.3,0,0,0,0,0,0,13,13
96,Fred Davis,WAS,TE,1,NYG,6,5,83.3,105,0,28,17.5,21,0,0,0,0,0,0,13,13
98,Jermichael Finley,GB,TE,9,LAC,7,5,71.4,44,1,13,6.3,8.8,0,0,0,0,0,0,12.9,12.9
98,Fred Davis,WAS,TE,13,NYJ,13,6,46.2,99,0,42,7.6,16.5,0,0,0,0,0,0,12.9,12.9
98,Rob Gronkowski,NE,TE,8,PIT,9,7,77.8,94,0,23,10.4,13.4,0,0,0,0,0,0,12.9,12.9
98,Jimmy Graham,NO,TE,13,DET,10,8,80,89,0,16,8.9,11.1,0,0,0,0,0,0,12.9,12.9
102,Jason Witten,DAL,TE,6,NE,4,4,100,48,1,20,12,12,0,0,0,0,0,0,12.8,12.8
102,Kevin Boss,OAK,TE,14,GB,7,5,71.4,43,1,13,6.1,8.6,0,0,0,0,0,0,12.8,12.8
102,Jared Cook,TEN,TE,15,IND,11,9,81.8,103,0,27,9.4,11.4,0,0,0,0,1,1,12.8,12.8
105,James Casey,HOU,TE,17,TEN,7,7,100,91,0,21,13,13,0,0,0,0,0,0,12.6,12.6
106,Visanthe Shiancoe,MIN,TE,7,GB,8,4,50,45,1,22,5.6,11.2,0,0,0,0,0,0,12.5,12.5
106,Vernon Davis,SF,TE,4,PHI,6,4,66.7,45,1,26,7.5,11.2,0,0,0,0,0,0,12.5,12.5
