Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,FanDuelSalary,FantasyPointsFanDuel
146,Jason Witten,DAL,TE,14,NYG,32,32,5800,8.03
148,Austin Seferian-Jenkins,NYJ,TE,10,TB,28,8,6000,8.02
149,Jason Witten,DAL,TE,9,KC,26,18,5900,8.01
150,Jason Witten,DAL,TE,4,LAR,20,11,5700,7.99
151,Jared Cook,OAK,TE,14,KC,29,7,5700,7.98
151,Austin Seferian-Jenkins,NYJ,TE,6,NE,32,29,5600,7.98
153,Martellus Bennett,GB,TE,3,CIN,6,1,5600,7.96
154,Jimmy Graham,SEA,TE,3,TEN,18,5,6400,7.92
154,Evan Engram,NYG,TE,5,LAC,25,9,5400,7.92
156,Hunter Henry,LAC,TE,10,JAX,1,19,5400,7.89
157,Austin Seferian-Jenkins,NYJ,TE,9,BUF,8,23,6000,7.87
158,Jimmy Graham,SEA,TE,5,LAR,28,14,5800,7.83
159,Antonio Gates,LAC,TE,17,OAK,20,26,5700,7.81
160,Martellus Bennett,GB,TE,1,SEA,4,4,5700,7.8
161,Jason Witten,DAL,TE,11,PHI,12,25,5400,7.79
162,Jared Cook,OAK,TE,2,NYJ,21,24,5100,7.77
162,Jason Witten,DAL,TE,5,GB,6,2,5400,7.77
164,Jack Doyle,IND,TE,3,CLE,16,31,5300,7.76
165,Evan Engram,NYG,TE,4,TB,29,2,5200,7.75
166,Jason Witten,DAL,TE,13,WAS,21,29,5500,7.74
167,Jared Cook,OAK,TE,6,LAC,23,4,5400,7.72
167,Delanie Walker,TEN,TE,9,BAL,5,25,5600,7.72
169,Austin Seferian-Jenkins,NYJ,TE,5,CLE,27,31,5500,7.69
169,Jared Cook,OAK,TE,8,BUF,10,24,5600,7.69
171,Coby Fleener,NO,TE,1,MIN,5,14,6300,7.68
172,Jared Cook,OAK,TE,9,MIA,12,24,5500,7.66
172,Charles Clay,BUF,TE,12,KC,23,9,5300,7.66
174,Eric Ebron,DET,TE,2,NYG,26,27,5300,7.65
175,Jason Witten,DAL,TE,15,OAK,26,26,6100,7.62
176,Vernon Davis,WAS,TE,17,NYG,32,32,5800,7.61
176,Eric Ebron,DET,TE,16,CIN,16,16,5200,7.61
178,Eric Ebron,DET,TE,4,MIN,21,23,5300,7.6
178,Jason Witten,DAL,TE,12,LAC,13,2,5900,7.6
180,Vernon Davis,WAS,TE,15,ARI,16,17,5800,7.57
181,Cameron Brate,TB,TE,5,NE,32,28,5500,7.56
182,Hunter Henry,LAC,TE,7,DEN,7,27,5200,7.54
182,Kyle Rudolph,MIN,TE,17,CHI,7,7,6000,7.54
184,Stephen Anderson,HOU,TE,14,SF,28,13,4500,7.52
185,Hunter Henry,LAC,TE,11,BUF,14,21,5200,7.51
185,Jason Witten,DAL,TE,7,SF,28,1,5300,7.51
185,Jason Witten,DAL,TE,10,ATL,17,3,5700,7.51
188,Jared Cook,OAK,TE,3,WAS,23,28,5200,7.5
189,Jason Witten,DAL,TE,16,SEA,12,10,5800,7.49
190,Kyle Rudolph,MIN,TE,5,CHI,20,16,5200,7.48
191,Austin Seferian-Jenkins,NYJ,TE,13,KC,23,9,5800,7.46
191,Delanie Walker,TEN,TE,11,PIT,2,3,5400,7.46
193,Martellus Bennett,GB,TE,5,DAL,26,11,5300,7.45
194,Jack Doyle,IND,TE,8,CIN,7,4,4900,7.44
195,Jared Cook,OAK,TE,16,PHI,7,15,6100,7.42
196,Cameron Brate,TB,TE,16,CAR,10,13,5100,7.41
196,Charles Clay,BUF,TE,10,NO,9,7,5400,7.41
198,Martellus Bennett,GB,TE,4,CHI,12,23,5800,7.4
199,Martellus Bennett,GB,TE,6,MIN,9,25,5500,7.38
200,Austin Hooper,ATL,TE,7,NE,32,30,5000,7.37
200,Eric Ebron,DET,TE,1,ARI,7,1,5500,7.37
202,Hunter Henry,LAC,TE,6,OAK,16,12,5400,7.36
203,Julius Thomas,MIA,TE,14,NE,18,16,5500,7.35
204,Vernon Davis,WAS,TE,16,DEN,6,30,6000,7.32
205,Coby Fleener,NO,TE,3,CAR,1,4,5700,7.3
206,Greg Olsen,CAR,TE,14,MIN,3,6,5800,7.28
207,Charles Clay,BUF,TE,1,NYJ,21,24,4600,7.25
208,Evan Engram,NYG,TE,2,DET,9,3,5000,7.24
208,Cameron Brate,TB,TE,11,MIA,20,28,5500,7.24
208,Tyler Kroft,CIN,TE,10,TEN,20,13,5400,7.24
211,Jason Witten,DAL,TE,1,NYG,6,20,5400,7.23
212,Austin Hooper,ATL,TE,12,TB,26,5,5200,7.21
212,Zach Miller,CHI,TE,2,TB,18,11,4500,7.21
212,Austin Seferian-Jenkins,NYJ,TE,12,CAR,4,13,5600,7.21
215,Hunter Henry,LAC,TE,2,MIA,27,26,5700,7.2
216,Dwayne Allen,NE,TE,5,TB,29,10,4500,7.18
217,Vernon Davis,WAS,TE,14,LAC,7,5,5800,7.16
217,Jared Cook,OAK,TE,5,BAL,12,29,5300,7.16
217,Jason Witten,DAL,TE,2,DEN,1,16,5400,7.16
220,Zach Miller,CHI,TE,8,NO,18,12,5400,7.15
221,Jared Cook,OAK,TE,7,KC,23,11,5200,7.13
221,Tyler Kroft,CIN,TE,8,IND,32,22,5700,7.13
221,Jared Cook,OAK,TE,4,DEN,11,27,5500,7.13
224,Jared Cook,OAK,TE,1,TEN,19,13,4900,7.09
225,Hunter Henry,LAC,TE,12,DAL,20,15,5400,7.04
225,Austin Hooper,ATL,TE,13,MIN,5,5,5400,7.04
227,Benjamin Watson,BAL,TE,4,PIT,4,12,5200,7.03
228,Austin Seferian-Jenkins,NYJ,TE,14,DEN,15,31,5900,7.02
229,Austin Hooper,ATL,TE,15,TB,29,2,5400,6.98
229,Charles Clay,BUF,TE,3,DEN,14,20,5100,6.98
231,Cameron Brate,TB,TE,17,NO,11,5,5000,6.96
232,Hunter Henry,LAC,TE,3,KC,28,18,5500,6.94
232,Austin Hooper,ATL,TE,14,NO,12,12,5300,6.94
234,Jack Doyle,IND,TE,4,SEA,12,14,5400,6.93
235,Tyler Kroft,CIN,TE,12,CLE,17,30,5700,6.92
235,Jesse James,PIT,TE,4,BAL,7,32,5100,6.92
235,Julius Thomas,MIA,TE,15,BUF,13,23,5400,6.92
235,Charles Clay,BUF,TE,13,NE,25,16,5500,6.92
235,Jack Doyle,IND,TE,1,LAR,15,9,5100,6.92
235,Charles Clay,BUF,TE,11,LAC,13,2,5300,6.92
241,Austin Hooper,ATL,TE,11,SEA,6,23,5300,6.91
242,Zach Miller,CHI,TE,3,PIT,5,12,4800,6.9
242,CJ Fiedorowicz,HOU,TE,1,JAX,13,17,5200,6.9
244,Coby Fleener,NO,TE,4,MIA,14,25,5400,6.89
245,Jesse James,PIT,TE,3,CHI,24,27,5300,6.88
245,Eric Ebron,DET,TE,15,CHI,10,5,5000,6.88
247,Benjamin Watson,BAL,TE,5,OAK,17,24,5100,6.86
248,Cameron Brate,TB,TE,2,CHI,20,10,5300,6.83
248,Julius Thomas,MIA,TE,13,DEN,15,31,5200,6.83
248,George Kittle,SF,TE,7,DAL,27,12,4800,6.83
251,Tyler Kroft,CIN,TE,13,PIT,3,3,5600,6.82
252,Coby Fleener,NO,TE,6,DET,12,21,5100,6.8
252,Vernon Davis,WAS,TE,10,MIN,3,10,5300,6.8
252,Tyler Kroft,CIN,TE,5,BUF,2,7,5500,6.8
255,Evan Engram,NYG,TE,3,PHI,13,24,5100,6.79
256,Hunter Henry,LAC,TE,1,DEN,1,16,6800,6.77
256,Austin Hooper,ATL,TE,16,NO,11,4,5100,6.77
256,Jesse James,PIT,TE,5,JAX,4,27,4900,6.77
259,Jason Witten,DAL,TE,17,PHI,6,14,5700,6.76
260,Julius Thomas,MIA,TE,12,NE,28,17,5100,6.75
260,Zach Miller,CHI,TE,6,BAL,8,28,5000,6.75
262,Vernon Davis,WAS,TE,3,OAK,5,6,4700,6.73
263,Kyle Rudolph,MIN,TE,15,CIN,15,16,6000,6.71
263,George Kittle,SF,TE,6,WAS,10,30,5300,6.71
265,Cameron Brate,TB,TE,3,MIN,27,19,5100,6.69
265,Ed Dickson,CAR,TE,8,TB,30,14,5000,6.69
267,Austin Hooper,ATL,TE,10,DAL,18,12,4900,6.68
268,Ed Dickson,CAR,TE,9,ATL,18,9,4900,6.67
269,Tyler Kroft,CIN,TE,14,CHI,13,12,5600,6.63
270,Jesse James,PIT,TE,2,MIN,5,14,5400,6.6
270,Eric Ebron,DET,TE,5,CAR,7,4,5200,6.6
272,Greg Olsen,CAR,TE,15,GB,24,1,5600,6.58
272,Benjamin Watson,BAL,TE,17,CIN,16,18,5100,6.58
274,Austin Hooper,ATL,TE,3,DET,8,23,5400,6.57
275,Julius Thomas,MIA,TE,3,NYJ,30,21,5100,6.56
275,Zach Miller,CHI,TE,4,GB,8,1,4800,6.56
277,Ed Dickson,CAR,TE,6,PHI,16,15,5200,6.55
277,Hunter Henry,LAC,TE,5,NYG,24,32,5200,6.55
277,Jesse James,PIT,TE,16,HOU,31,28,5800,6.55
280,Ryan Griffin,HOU,TE,6,CLE,21,31,4500,6.54
280,Julius Thomas,MIA,TE,2,LAC,16,12,5000,6.54
282,Antonio Gates,LAC,TE,2,MIA,27,26,5300,6.53
282,Julius Thomas,MIA,TE,11,TB,26,8,5000,6.53
284,Hunter Henry,LAC,TE,4,PHI,17,22,5600,6.52
285,Cameron Brate,TB,TE,12,ATL,13,10,5200,6.51
286,Austin Hooper,ATL,TE,1,CHI,20,10,4700,6.5
287,Charles Clay,BUF,TE,14,IND,31,22,5400,6.47
288,Zach Miller,CHI,TE,7,CAR,10,16,5200,6.45
289,Ed Dickson,CAR,TE,3,NO,32,29,4500,6.42
289,Eric Ebron,DET,TE,14,TB,30,2,5200,6.42
291,Ricky Seals-Jones,ARI,TE,15,WAS,28,31,5300,6.41
292,Tyler Kroft,CIN,TE,9,JAX,1,20,5500,6.4
293,Austin Seferian-Jenkins,NYJ,TE,4,JAX,2,30,4800,6.36
294,Ricky Seals-Jones,ARI,TE,14,TEN,17,19,4500,6.35
295,Benjamin Watson,BAL,TE,16,IND,30,22,5100,6.34
296,Austin Hooper,ATL,TE,6,MIA,6,24,4800,6.32
296,Jack Doyle,IND,TE,6,TEN,29,9,5500,6.32
296,Jack Doyle,IND,TE,7,JAX,2,22,5100,6.32
299,Cameron Brate,TB,TE,4,NYG,12,29,5300,6.31
300,Jared Cook,OAK,TE,17,LAC,4,8,5900,6.28
300,Zach Miller,CHI,TE,5,MIN,13,21,4900,6.28
302,Eric Ebron,DET,TE,6,NO,24,19,5100,6.27
302,Charles Clay,BUF,TE,15,MIA,19,27,5300,6.27
304,OJ Howard,TB,TE,15,ATL,13,8,5500,6.25
305,Antonio Gates,LAC,TE,16,NYJ,27,24,4500,6.24
306,Jesse James,PIT,TE,15,NE,21,12,5200,6.21
307,Ed Dickson,CAR,TE,7,CHI,13,15,5100,6.17
308,Tyler Kroft,CIN,TE,11,DEN,16,31,5300,6.14
308,Benjamin Watson,BAL,TE,7,MIN,6,17,4900,6.14
310,Cameron Brate,TB,TE,15,ATL,13,8,5300,6.13
310,Antonio Gates,LAC,TE,3,KC,28,18,5000,6.13
310,Evan Engram,NYG,TE,1,DAL,14,30,4900,6.13
313,Austin Hooper,ATL,TE,4,BUF,1,6,5000,6.08
313,Julius Thomas,MIA,TE,4,NO,31,24,4700,6.08
315,Austin Hooper,ATL,TE,17,CAR,14,11,4900,6.05
316,Martellus Bennett,GB,TE,7,NO,23,19,5300,6.02
316,Ryan Griffin,HOU,TE,8,SEA,3,19,5100,6.02
318,Benjamin Watson,BAL,TE,12,HOU,28,27,4800,6.01
319,Tyler Kroft,CIN,TE,7,PIT,1,6,5600,5.98
320,Tyler Kroft,CIN,TE,15,MIN,2,3,5500,5.97
321,Benjamin Watson,BAL,TE,6,CHI,18,20,5000,5.96
322,Ryan Griffin,HOU,TE,4,TEN,30,21,4500,5.95
322,Benjamin Watson,BAL,TE,3,JAX,10,30,4700,5.95
322,Jack Doyle,IND,TE,2,ARI,7,1,5200,5.95
325,Ricky Seals-Jones,ARI,TE,16,NYG,32,32,5200,5.93
325,Julius Thomas,MIA,TE,6,ATL,17,11,4600,5.93
327,Vernon Davis,WAS,TE,8,DAL,23,8,4900,5.9
327,Ed Dickson,CAR,TE,4,NE,32,31,4900,5.9
329,George Kittle,SF,TE,8,PHI,20,28,4900,5.88
329,Eric Ebron,DET,TE,13,BAL,2,22,5300,5.88
331,Benjamin Watson,BAL,TE,8,MIA,13,23,4800,5.86
332,David Njoku,CLE,TE,14,GB,26,1,4700,5.84
332,Benjamin Watson,BAL,TE,11,GB,19,1,4900,5.84
334,Antonio Gates,LAC,TE,4,PHI,17,22,4700,5.83
334,Ed Dickson,CAR,TE,10,MIA,13,28,4900,5.83
334,Julius Thomas,MIA,TE,7,NYJ,19,26,4600,5.83
337,Jermaine Gresham,ARI,TE,3,DAL,12,18,4500,5.81
337,Ryan Griffin,HOU,TE,5,KC,15,16,4500,5.81
339,Benjamin Watson,BAL,TE,13,DET,17,26,4800,5.8
340,Cameron Brate,TB,TE,13,GB,22,1,5000,5.79
340,Jermaine Gresham,ARI,TE,4,SF,26,1,4500,5.79
340,David Njoku,CLE,TE,10,DET,15,16,4500,5.79
340,Benjamin Watson,BAL,TE,9,TEN,21,12,4700,5.79
344,Zach Miller,CHI,TE,1,ATL,29,27,4500,5.73
345,Benjamin Watson,BAL,TE,14,PIT,3,2,5000,5.71
346,Jesse James,PIT,TE,12,GB,16,1,4900,5.68
347,Austin Seferian-Jenkins,NYJ,TE,15,NO,12,10,5500,5.65
348,Ed Dickson,CAR,TE,13,NO,12,15,4900,5.63
349,Stephen Anderson,HOU,TE,16,PIT,5,7,5000,5.62
349,Stephen Anderson,HOU,TE,15,JAX,1,11,5100,5.62
351,Eric Ebron,DET,TE,12,MIN,4,6,5700,5.6
352,Coby Fleener,NO,TE,7,GB,14,2,5000,5.59
352,Ryan Griffin,HOU,TE,9,IND,32,22,5200,5.59
352,George Kittle,SF,TE,9,ARI,29,17,5000,5.59
355,Ed Dickson,CAR,TE,5,DET,5,10,4700,5.57
356,Julius Thomas,MIA,TE,10,CAR,3,10,5600,5.54
357,Julius Thomas,MIA,TE,9,OAK,23,17,4800,5.53
