Rank,Name,Team,Position,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
795,Carlos Hyde,SF,RB,5,KC,10,43,4.3,0,1,0,0,0,0,0,4.3,4.3
795,Juwan Thompson,DEN,RB,6,NYJ,8,38,4.8,0,1,1,0,0,0,0,4.3,4.3
795,DeAngelo Williams,CAR,RB,11,ATL,10,41,4.1,0,1,1,-3,0,0,0,4.3,4.3
795,Charles Sims,TB,RB,12,CHI,6,22,3.7,0,4,2,11,0,0,0,4.3,4.3
795,Devonta Freeman,ATL,RB,1,NO,2,15,7.5,0,2,2,18,0,0,0,4.3,4.3
795,Tommy Bohanon,NYJ,FB,2,GB,1,3,3,0,2,2,30,0,0,0,4.3,4.3
795,Darren Sproles,PHI,RB,17,NYG,1,5,5,0,6,3,23,0,0,0,4.3,4.3
795,Fred Jackson,BUF,RB,7,MIN,3,12,4,0,3,3,16,0,1,0,4.3,4.3
795,DeAngelo Williams,CAR,RB,10,PHI,13,31,2.4,0,3,3,17,0,1,1,4.3,4.3
795,Mike Tolbert,CAR,FB,2,DET,4,-5,-1.2,0,4,3,33,0,0,0,4.3,4.3
805,Bishop Sankey,TEN,RB,13,HOU,10,42,4.2,0,0,0,0,0,0,0,4.2,4.2
805,Bobby Rainey,TB,RB,6,BAL,7,42,6,0,3,0,0,0,0,0,4.2,4.2
805,Matt Asiata,MIN,RB,7,BUF,6,24,4,0,2,1,13,0,0,0,4.2,4.2
805,Joe Banyard,MIN,RB,16,MIA,5,23,4.6,0,3,2,9,0,0,0,4.2,4.2
805,Reggie Bush,DET,RB,2,CAR,6,26,4.3,0,3,2,6,0,0,0,4.2,4.2
805,Travaris Cadet,NO,RB,10,SF,2,9,4.5,0,5,3,18,0,0,0,4.2,4.2
805,Benjamin Cunningham,LAR,RB,15,ARI,2,4,2,0,4,3,23,0,0,0,4.2,4.2
812,Fozzy Whittaker,CAR,RB,17,ATL,7,41,5.9,0,0,0,0,0,0,0,4.1,4.1
812,Ben Tate,CLE,RB,1,PIT,6,41,6.8,0,0,0,0,0,0,0,4.1,4.1
812,Frank Gore,SF,RB,13,SEA,10,28,2.8,0,2,1,8,0,0,0,4.1,4.1
812,Knile Davis,KC,RB,7,LAC,10,25,2.5,0,1,1,11,0,0,0,4.1,4.1
812,Jonathan Grimes,HOU,RB,3,NYG,1,5,5,0,1,1,31,0,0,0,4.1,4.1
812,Daniel Thomas,MIA,RB,3,KC,2,15,7.5,0,2,1,21,0,0,0,4.1,4.1
812,Bishop Sankey,TEN,RB,12,PHI,10,37,3.7,0,2,2,14,0,1,1,4.1,4.1
812,Fitzgerald Toussaint,BAL,RB,16,HOU,4,11,2.8,0,5,2,20,0,0,0,4.1,4.1
812,Devonta Freeman,ATL,RB,6,CHI,2,5,2.5,0,3,2,26,0,0,0,4.1,4.1
812,Cedric Peerman,CIN,RB,9,JAX,5,9,1.8,0,4,2,22,0,0,0,4.1,4.1
812,Kyle Juszczyk,BAL,FB,10,TEN,0,0,0,0,3,3,26,0,0,0,4.1,4.1
812,Marcel Reece,OAK,FB,3,NE,1,7,7,0,7,3,19,0,0,0,4.1,4.1
812,Theo Riddick,DET,RB,11,ARI,2,2,1,0,6,3,24,0,0,0,4.1,4.1
812,Bobby Rainey,TB,RB,12,CHI,1,3,3,0,6,4,18,0,0,0,4.1,4.1
826,Eddie Lacy,GB,RB,6,MIA,14,40,2.9,0,0,0,0,0,0,0,4,4
826,Shonn Greene,TEN,RB,2,DAL,5,40,8,0,0,0,0,0,0,0,4,4
826,Alfred Blue,HOU,RB,2,OAK,11,40,3.6,0,0,0,0,0,0,0,4,4
826,Chris Johnson,NYJ,RB,10,PIT,7,23,3.3,0,1,1,12,0,0,0,4,4
826,Robert Hughes,ARI,FB,14,KC,1,-1,-1,0,1,1,36,0,0,0,4,4
826,Benjamin Cunningham,LAR,RB,8,KC,4,27,6.8,0,1,1,8,0,0,0,4,4
826,Jed Collins,DET,FB,10,MIA,0,0,0,0,2,2,30,0,0,0,4,4
826,Daniel Thomas,MIA,RB,8,JAX,4,18,4.5,0,2,2,12,0,0,0,4,4
826,Jacquizz Rodgers,ATL,RB,13,ARI,4,7,1.8,0,3,3,18,0,0,0,4,4
835,Juwan Thompson,DEN,RB,13,KC,10,39,3.9,0,0,0,0,0,0,0,3.9,3.9
835,Bernard Pierce,BAL,RB,12,NO,7,28,4,0,1,1,6,0,0,0,3.9,3.9
835,Ben Tate,CLE,RB,7,JAX,16,36,2.2,0,2,1,-2,0,0,0,3.9,3.9
835,Jacquizz Rodgers,ATL,RB,14,GB,3,20,6.7,0,3,1,14,0,0,0,3.9,3.9
835,Benjamin Cunningham,LAR,RB,3,DAL,9,29,3.2,0,2,1,5,0,0,0,3.9,3.9
835,Benjamin Cunningham,LAR,RB,12,LAC,4,18,4.5,0,4,2,11,0,0,0,3.9,3.9
835,Mark Ingram,NO,RB,7,DET,10,16,1.6,0,3,2,13,0,0,0,3.9,3.9
835,Kyle Juszczyk,BAL,FB,6,TB,0,0,0,0,3,2,29,0,0,0,3.9,3.9
835,Mike Tolbert,CAR,FB,3,PIT,3,4,1.3,0,3,3,20,0,0,0,3.9,3.9
844,Robert Turbin,SEA,RB,16,ARI,10,38,3.8,0,0,0,0,0,0,0,3.8,3.8
844,James Starks,GB,RB,3,DET,8,38,4.8,0,1,0,0,0,0,0,3.8,3.8
844,Frank Gore,SF,RB,6,LAR,16,38,2.4,0,1,0,0,0,0,0,3.8,3.8
844,Chris Johnson,NYJ,RB,16,NE,10,30,3,0,1,1,3,0,0,0,3.8,3.8
844,Peyton Hillis,NYG,RB,7,DAL,6,29,4.8,0,3,1,4,0,0,0,3.8,3.8
844,Tre Mason,LAR,RB,8,KC,7,32,4.6,0,1,1,1,0,0,0,3.8,3.8
844,Stevan Ridley,NE,RB,1,MIA,8,21,2.6,0,2,2,7,0,0,0,3.8,3.8
844,Jonathan Dwyer,ARI,RB,1,LAC,7,20,2.9,0,3,2,8,0,0,0,3.8,3.8
852,Dan Herron,IND,RB,7,CIN,5,37,7.4,0,0,0,0,0,0,0,3.7,3.7
852,Bernard Pierce,BAL,RB,15,JAX,6,37,6.2,0,1,0,0,0,0,0,3.7,3.7
852,Shane Vereen,NE,RB,13,GB,3,6,2,0,2,1,26,0,0,0,3.7,3.7
852,Jacquizz Rodgers,ATL,RB,16,NO,11,29,2.6,0,2,1,3,0,0,0,3.7,3.7
852,Donald Brown,LAC,RB,12,LAR,1,7,7,0,2,2,20,0,0,0,3.7,3.7
852,Isaiah Crowell,CLE,RB,15,CIN,7,17,2.4,0,3,2,10,0,0,0,3.7,3.7
852,Bishop Sankey,TEN,RB,14,NYG,9,25,2.8,0,3,2,2,0,0,0,3.7,3.7
859,Shonn Greene,TEN,RB,5,CLE,11,36,3.3,0,2,0,0,0,0,0,3.6,3.6
859,Doug Martin,TB,RB,12,CHI,11,27,2.5,0,3,1,4,0,0,0,3.6,3.6
859,Joe Banyard,MIN,RB,17,CHI,6,20,3.3,0,2,1,11,0,0,0,3.6,3.6
859,Anthony Dixon,BUF,RB,15,GB,6,26,4.3,0,1,1,5,0,1,0,3.6,3.6
859,Doug Martin,TB,RB,8,MIN,10,27,2.7,0,2,2,-1,0,0,0,3.6,3.6
859,James Starks,GB,RB,11,PHI,8,9,1.1,0,2,2,17,0,0,0,3.6,3.6
859,Lance Dunbar,DAL,RB,1,SF,0,0,0,0,3,3,21,0,0,0,3.6,3.6
866,Devonta Freeman,ATL,RB,13,ARI,8,26,3.2,0,1,1,4,0,0,0,3.5,3.5
866,Devonta Freeman,ATL,RB,15,PIT,4,21,5.2,0,2,1,9,0,0,0,3.5,3.5
866,Donald Brown,LAC,RB,5,NYJ,9,26,2.9,0,2,1,4,0,0,0,3.5,3.5
866,Carlos Hyde,SF,RB,11,NYG,9,25,2.8,0,1,1,5,0,0,0,3.5,3.5
866,Alfred Blue,HOU,RB,4,BUF,9,9,1,0,3,2,16,0,0,0,3.5,3.5
866,Daniel Thomas,MIA,RB,15,NE,2,5,2.5,0,4,2,20,0,0,0,3.5,3.5
866,Bryce Brown,BUF,RB,14,DEN,3,11,3.7,0,3,2,14,0,0,0,3.5,3.5
866,Silas Redd,WAS,RB,11,TB,4,16,4,0,3,2,9,0,0,0,3.5,3.5
866,Zac Stacy,LAR,RB,17,SEA,2,3,1.5,0,3,3,17,0,0,0,3.5,3.5
866,Roy Helu,WAS,RB,7,TEN,5,29,5.8,0,3,3,-9,0,0,0,3.5,3.5
876,DeAngelo Williams,CAR,RB,4,BAL,11,34,3.1,0,0,0,0,0,0,0,3.4,3.4
876,Chris Johnson,NYJ,RB,3,CHI,10,34,3.4,0,2,0,0,0,0,0,3.4,3.4
876,James Starks,GB,RB,15,BUF,4,19,4.8,0,3,1,10,0,0,0,3.4,3.4
876,Toby Gerhart,JAX,RB,5,PIT,4,9,2.2,0,1,1,20,0,0,0,3.4,3.4
876,Stevan Ridley,NE,RB,6,BUF,10,23,2.3,0,1,1,6,0,0,0,3.4,3.4
