,date,favorite,spread,underdog,total,awayMoneyLine,homeMoneyLine,season,week
0,"October 23, 2011 12:00 AM",Steelers,-4.0,at Cardinals,45.0,,,2011,7
1,"October 23, 2011 12:00 AM",at Panthers,-2.5,Redskins,44.0,,,2011,7
2,"October 23, 2011 12:00 AM",at Browns,-3.0,Seahawks,41.0,,,2011,7
3,"October 23, 2011 12:00 AM",at Cowboys,-14.0,Rams,43.5,,,2011,7
4,"October 23, 2011 12:00 AM",at Lions,-5.0,Falcons,47.5,,,2011,7
5,"October 23, 2011 12:00 AM",Broncos,-1.5,at Dolphins,42.0,,,2011,7
6,"October 23, 2011 12:00 AM",Packers,-10.0,at Vikings,46.5,,,2011,7
7,"October 23, 2011 12:00 AM",at Saints,-14.0,Colts,49.0,,,2011,7
8,"October 23, 2011 12:00 AM",at Jets,-1.0,Chargers,43.0,,,2011,7
9,"October 23, 2011 12:00 AM",at Raiders,-3.5,Chiefs,41.5,,,2011,7
10,"October 23, 2011 12:00 AM",Bears,-1.5,at Buccaneers,44.0,,,2011,7
11,"October 23, 2011 12:00 AM",at Titans,-2.5,Texans,44.0,,,2011,7
12,"October 24, 2011 12:00 AM",Ravens,-10.0,at Jaguars,39.5,,,2011,7
0,"October 30, 2011 12:00 AM",at Ravens,-12.5,Cardinals,43.0,,,2011,8
1,"October 30, 2011 12:00 AM",at Bills,-4.0,Redskins,46.0,,,2011,8
2,"October 30, 2011 12:00 AM",at Panthers,-3.0,Vikings,47.0,,,2011,8
3,"October 30, 2011 12:00 AM",Lions,-3.0,at Broncos,43.0,,,2011,8
4,"October 30, 2011 12:00 AM",at Texans,-10.0,Jaguars,41.0,,,2011,8
5,"October 30, 2011 12:00 AM",Saints,-13.5,at Rams,48.0,,,2011,8
6,"October 30, 2011 12:00 AM",at Giants,-10.0,Dolphins,42.5,,,2011,8
7,"October 30, 2011 12:00 AM",at Eagles,-3.0,Cowboys,49.0,,,2011,8
8,"October 30, 2011 12:00 AM",Patriots,-3.0,at Steelers,52.5,,,2011,8
9,"October 30, 2011 12:00 AM",Bengals,-1.0,at Seahawks,37.5,,,2011,8
10,"October 30, 2011 12:00 AM",at 49ers,-9.5,Browns,38.5,,,2011,8
11,"October 30, 2011 12:00 AM",at Titans,-7.5,Colts,43.5,,,2011,8
12,"October 31, 2011 12:00 AM",Chargers,-3.0,at Chiefs,44.5,,,2011,8
0,"November 6, 2011 12:00 AM",at Cardinals,-1.5,Rams,41.0,,,2011,9
1,"November 6, 2011 12:00 AM",at Bills,-2.5,Jets,45.0,,,2011,9
2,"November 6, 2011 12:00 AM",at Cowboys,-11.0,Seahawks,45.0,,,2011,9
3,"November 6, 2011 12:00 AM",at Texans,-10.5,Browns,41.5,,,2011,9
4,"November 6, 2011 12:00 AM",Falcons,-6.5,at Colts,45.0,,,2011,9
5,"November 6, 2011 12:00 AM",at Chiefs,-4.5,Dolphins,40.5,,,2011,9
6,"November 6, 2011 12:00 AM",Packers,-6.0,at Chargers,50.0,,,2011,9
7,"November 6, 2011 12:00 AM",at Patriots,-9.5,Giants,51.5,,,2011,9
8,"November 6, 2011 12:00 AM",at Saints,-8.5,Buccaneers,51.0,,,2011,9
9,"November 6, 2011 12:00 AM",at Raiders,-7.0,Broncos,41.5,,,2011,9
10,"November 6, 2011 12:00 AM",at Steelers,-3.0,Ravens,42.0,,,2011,9
11,"November 6, 2011 12:00 AM",at Titans,-2.5,Bengals,42.0,,,2011,9
12,"November 6, 2011 12:00 AM",49ers,-5.5,at Redskins,37.5,,,2011,9
13,"November 7, 2011 12:00 AM",at Eagles,-8.0,Bears,47.0,,,2011,9
0,"November 10, 2011 12:00 AM",at Chargers,-7.0,Raiders,48.0,,,2011,10
1,"November 13, 2011 12:00 AM",at Dolphins,-4.0,Redskins,37.5,,,2011,10
2,"November 13, 2011 12:00 AM",at Jets,-1.5,Patriots,47.5,,,2011,10
3,"November 13, 2011 12:00 AM",at Eagles,-13.0,Cardinals,47.0,,,2011,10
4,"November 13, 2011 12:00 AM",Ravens,-7.0,at Seahawks,40.0,,,2011,10
5,"November 13, 2011 12:00 AM",at 49ers,-4.0,Giants,42.5,,,2011,10
6,"November 13, 2011 12:00 AM",Texans,-4.0,at Buccaneers,45.5,,,2011,10
7,"November 13, 2011 12:00 AM",at Falcons,-1.0,Saints,50.5,,,2011,10
8,"November 13, 2011 12:00 AM",at Panthers,-3.5,Titans,47.0,,,2011,10
9,"November 13, 2011 12:00 AM",at Bears,-3.0,Lions,43.5,,,2011,10
10,"November 13, 2011 12:00 AM",Steelers,-4.0,at Bengals,40.5,,,2011,10
11,"November 13, 2011 12:00 AM",at Browns,-2.5,Rams,36.0,,,2011,10
12,"November 13, 2011 12:00 AM",at Cowboys,-5.5,Bills,48.0,,,2011,10
13,"November 13, 2011 12:00 AM",Jaguars,-3.0,at Colts,37.0,,,2011,10
14,"November 13, 2011 12:00 AM",at Chiefs,-3.0,Broncos,42.0,,,2011,10
15,"November 14, 2011 12:00 AM",at Packers,-13.0,Vikings,50.5,,,2011,10
0,"November 17, 2011 12:00 AM",Jets,-6.0,at Broncos,40.0,,,2011,11
1,"November 20, 2011 12:00 AM",at Lions,-6.5,Panthers,47.5,,,2011,11
2,"November 20, 2011 12:00 AM",at Packers,-13.5,Buccaneers,48.5,,,2011,11
3,"November 20, 2011 12:00 AM",at Rams,-3.0,Seahawks,40.0,,,2011,11
4,"November 20, 2011 12:00 AM",at Dolphins,-3.0,Bills,43.5,,,2011,11
5,"November 20, 2011 12:00 AM",at Vikings,-2.0,Raiders,45.5,,,2011,11
6,"November 20, 2011 12:00 AM",at Falcons,-6.0,Titans,44.0,,,2011,11
7,"November 20, 2011 12:00 AM",at Ravens,-7.0,Bengals,40.0,,,2011,11
8,"November 20, 2011 12:00 AM",at Bears,-4.0,Chargers,45.0,,,2011,11
9,"November 20, 2011 12:00 AM",at Browns,-1.5,Jaguars,34.0,,,2011,11
10,"November 20, 2011 12:00 AM",at Giants,-6.0,Eagles,45.5,,,2011,11
11,"November 20, 2011 12:00 AM",at 49ers,-10.0,Cardinals,41.0,,,2011,11
12,"November 20, 2011 12:00 AM",Cowboys,-7.5,at Redskins,42.0,,,2011,11
13,"November 21, 2011 12:00 AM",at Patriots,-16.5,Chiefs,46.5,,,2011,11
0,"November 24, 2011 12:00 AM",at Cowboys,-7.0,Dolphins,45.0,,,2011,12
1,"November 24, 2011 12:00 AM",Packers,-4.0,at Lions,55.5,,,2011,12
2,"November 24, 2011 12:00 AM",at Ravens,-3.5,49ers,40.0,,,2011,12
3,"November 27, 2011 12:00 AM",at Bengals,-6.5,Browns,38.0,,,2011,12
4,"November 27, 2011 12:00 AM",at Falcons,-10.0,Vikings,44.0,,,2011,12
5,"November 27, 2011 12:00 AM",at Jets,-9.5,Bills,42.5,,,2011,12
6,"November 27, 2011 12:00 AM",at Raiders,-3.0,Bears,41.5,,,2011,12
7,"November 27, 2011 12:00 AM",Patriots,-3.0,at Eagles,50.5,,,2011,12
8,"November 27, 2011 12:00 AM",at Seahawks,-3.0,Redskins,38.0,,,2011,12
9,"November 27, 2011 12:00 AM",at Titans,-3.5,Buccaneers,44.0,,,2011,12
10,"November 27, 2011 12:00 AM",Panthers,-3.5,at Colts,46.0,,,2011,12
11,"November 27, 2011 12:00 AM",Texans,-6.0,at Jaguars,37.0,,,2011,12
12,"November 27, 2011 12:00 AM",Steelers,-10.5,at Chiefs,41.0,,,2011,12
13,"November 27, 2011 12:00 AM",at Chargers,-5.0,Broncos,42.0,,,2011,12
14,"November 27, 2011 12:00 AM",at Rams,-1.5,Cardinals,39.5,,,2011,12
15,"November 28, 2011 12:00 AM",at Saints,-7.0,Giants,51.0,,,2011,12
0,"December 1, 2011 12:00 AM",Eagles,-3.0,at Seahawks,43.5,,,2011,13
